match_id,minute,text,team,card_type
760415,49',Yaya Sithole (South Africa) is shown the red card.,South Africa,Red
760415,84',Themba Zwane (South Africa) is shown the red card for violent conduct.,South Africa,Red
760415,90'+2',César Montes (Mexico) is shown the red card.,Mexico,Red
